Company Names;Cars Names;Engines;HorsePower;Fuel Types;Seats;Colour
Bugatti;La Voiture Noire;8.0L Quad-Turbo W16;1500 hp;Petrol;2;White
Bugatti;Bolide;8.0L Quad-Turbo W16;1850 hp;Petrol;2;White
Bugatti;Mistral;8.0L Quad-Turbo W16;1600 hp;Petrol;2;Silver
Volvo;Volvo FH;13.0L I6 Turbo Diesel;540 hp;Diesel;2;White
Volvo;Volvo FH16;16.1L I6 Turbo Diesel;750 hp;Diesel;2;Silver
Volvo;Volvo FM;12.8L I6 Turbo Diesel;460 hp;Diesel;2;Gray
Volvo;Volvo FMX;13.0L I6 Turbo Diesel;500 hp;Diesel;2;White
Volvo;Volvo VNL;12.8L I6 Turbo Diesel;500 hp;Diesel;2;Red
Volvo;Volvo VNR;12.8L I6 Turbo Diesel;400 hp;Diesel;2;Green
Volvo;Volvo VHD;12.8L I6 Turbo Diesel;500 hp;Diesel;2;Gray
Volvo;Volvo FE;7.7L I6 Turbo Diesel;280 hp;Diesel;2;Gray
Volvo;Volvo FL;5.1L I4 Turbo Diesel;180 hp;Diesel;2;Black
Jaguar Land Rover;Jaguar F-Type;V6 / V8 Petrol;335 hp;Petrol;2;White
Jaguar Land Rover;Jaguar XE;I4 Petrol;250 hp;Petrol;5;White
Jaguar Land Rover;Jaguar XF;I4 Petrol;250 hp;Petrol;5;White
Jaguar Land Rover;Jaguar XJ;V6 Petrol;300 hp;Petrol;5;White
Jaguar Land Rover;Jaguar E-PACE;I4 Petrol;200 hp;Petrol;5;Blue
Jaguar Land Rover;Jaguar I-PACE;Electric (Dual Motor);400 hp;Electric;5;Black
Jaguar Land Rover;Jaguar F-PACE;I4 Petrol / V6 Petrol;250 hp / 340 hp;Petrol;5;Blue
Jaguar Land Rover;Jaguar X-TYPE;I4 Petrol;160 hp;Petrol;5;Black
Jaguar Land Rover;Jaguar F-PACE R-Dynamic;I4 Petrol / V6 Petrol;340 hp;Petrol;5;Red
Jaguar Land Rover;Jaguar XE R-Dynamic;I4 Petrol;340 hp;Petrol;5;White
Jaguar Land Rover;Jaguar F-Type SVR;V8 Petrol;575 hp;Petrol;2;White
Jaguar Land Rover;Jaguar I-PACE Electric Performance;Electric (Dual Motor);400 hp;Electric;5;Black
Jaguar Land Rover;Jaguar F-PACE SVR;V8 Petrol;550 hp;Petrol;5;Green
Jaguar Land Rover;Jaguar XE S;I4 Petrol;340 hp;Petrol;5;White
Jaguar Land Rover;Jaguar XF R-Dynamic;I4 Petrol / V6 Petrol;340 hp;Petrol;5;Gray
Jaguar Land Rover;Jaguar XJ LWB (Long Wheelbase);V6 Petrol;300 hp;Petrol;5;Black
Jaguar Land Rover;Jaguar F-Type Heritage Edition;V8 Petrol;550 hp;Petrol;2;White
Jaguar Land Rover;Jaguar E-PACE S;I4 Petrol;200 hp;Petrol;5;White
Jaguar Land Rover;Jaguar I-PACE HSE;Electric (Dual Motor);400 hp;Electric;5;Black
Jaguar Land Rover;Jaguar F-Type V8 R;V8 Petrol;550 hp;Petrol;2;Blue
Jaguar Land Rover;Jaguar F-Type R-Dynamic;I4 Petrol / V6 Petrol;300 hp;Petrol;2;White
Jaguar Land Rover;Jaguar XE P300 R-Dynamic;I4 Petrol;300 hp;Petrol;5;Silver
Jaguar Land Rover;Jaguar XF Sportbrake;I4 Petrol / V6 Petrol;250 hp;Petrol;5;White
Jaguar Land Rover;Jaguar I-PACE EV400 HSE;Electric (Dual Motor);400 hp;Electric;5;Black
Jaguar Land Rover;Jaguar F-PACE S 30t AWD;I4 Petrol;247 hp;Petrol;5;Gray
Jaguar Land Rover;Jaguar E-PACE R-Dynamic;I4 Petrol;246 hp;Petrol;5;White
